자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
도봉산광역환승센터앞,무인대여소,서울특별시 도봉구 도봉로 955,서울특별시 도봉구 도봉로 955,37.68972,127.045197,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,10,15,N,수동식,N,1599-0120,서울시설공단,2017-11-21
도봉구청 정문앞,무인대여소,서울특별시 도봉구 마들로 656,서울특별시 도봉구 마들로 656,37.669224,127.046516,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,10,15,N,수동식,N,1599-0120,서울시설공단,2017-11-21
기업은행 앞,무인대여소,서울특별시 도봉구 도봉로 683,서울특별시 도봉구 도봉로 683,37.665665,127.042671,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
도봉구민회관,무인대여소,서울특별시 도봉구 도봉로 552,서울특별시 도봉구 도봉로 552,37.654461,127.038513,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,10,15,N,수동식,N,1599-0120,서울시설공단,2017-11-21
보건소사거리(다비치안경창동점),무인대여소,서울특별시 도봉구 해등로 150,서울특별시 도봉구 해등로 150,37.65683,127.039848,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,5,8,N,수동식,N,1599-0120,서울시설공단,2017-11-21
청담역 13번 출구 앞,무인대여소,서울특별시 강남구 영동대로 703,서울특별시 강남구 영동대로 703,37.52058,127.056328,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
금원빌딩 앞,무인대여소,서울특별시 강남구 도산대로 539,서울특별시 강남구 도산대로 539,37.525116,127.052467,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
청담나들목입구,무인대여소,서울특별시 강남구 영동대로128길 59,서울특별시 강남구 영동대로128길 59,37.521275,127.061035,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
봉은사역 5번출구 옆,무인대여소,서울특별시 강남구 봉은사로 지하 601,서울특별시 강남구 봉은사로 지하 601,37.514248,127.061119,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
삼성역 8번출구,무인대여소,서울특별시 강남구 영동대로 502,서울특별시 강남구 영동대로 502,37.509575,127.063408,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
